source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax
141537799678352640,42.36202627769744,37.326397509482646,6.3503795,0.57864857,8.592260951561462
141495296682140416,43.04716175084241,37.09403488951022,6.420301,1.5952182,2.5250015121804967
270175746685064704,88.74094972933278,59.88829032330466,5.1739206,0.04955244,7.200800963659673
275972646872029696,61.65303801418421,54.00821143240344,6.0454865,1.1588802,11.565880811154155
278331305468492032,67.6736308712612,57.411772886715795,5.8965864,4.203895,2.707190749726006
286890075775673088,86.88421330492108,63.59893471957938,6.234292,1.1684866,6.665412173544245
335144892337326336,40.56203540720429,40.193122971188636,4.7216687,0.74047184,41.79624920056481
357904370717992064,28.475861635373313,49.942957316816056,6.443188,1.4857173,4.010033975678175
359543502036692864,28.211264353399343,51.4748082157008,6.266432,0.08184481,6.683436457318384
404335509808538752,15.576923289320135,51.03488442281711,6.4549727,0.21306801,4.661069291555292
407618995126664960,27.738335752876896,51.93290674299483,5.855865,0.57732916,22.702103413158817
418414069011230720,11.321323640797168,55.22137253803541,5.4112434,0.046296597,9.234226051688626
427075643662759936,9.639306898629487,60.324777259377896,6.13681,1.8604403,1.0816263269516475
429338816550168960,0.31616606300847505,60.355259769716056,5.678268,3.0352426,2.1226504131470825
435145543609975040,48.11057467692003,47.72550070564786,5.798303,1.660234,6.117106997737448
450113435913489792,52.478079028412495,58.878746215239254,4.3358145,0.9027653,0.9302612032005914
458284937619681664,35.528722285672714,56.604131417963856,5.970163,2.9956803,0.41684194357155036
466294295706341760,46.04692580019409,61.702747952450125,6.483679,0.8274455,42.45870862034461
466707334121461376,47.22574461999023,62.38459422868277,6.432255,0.52279615,1.0826277590526878
490783752549167872,63.21555170842173,68.50118735832723,6.00226,1.2997575,7.376873299196191
491266541236888704,47.75255460884367,64.89619574446276,6.477359,0.21167326,12.68636387588156
499294487942493184,79.55513908006292,73.26797189084391,5.8054204,-0.042626858,9.099295635857318
502542170414672128,76.1653770697353,74.06689675196647,6.2826157,0.04041052,1.2506346462936593
509008535743225600,23.357162956458243,58.32731122587744,5.076425,1.8049536,1.720728301893038
533481499909580544,15.130221854744931,70.98296385805381,6.38864,0.1673255,9.433750047371385
537612876192148096,0.41561939610789383,73.61179261962806,6.480009,0.24714136,14.336634017840032
547681177180693632,43.898604540834334,74.31302330394104,6.4516215,3.4357657,2.695623647063102
567024713450961280,9.942891569444338,82.49410768517869,6.244327,0.7408447,30.43240806678127
786420645182229504,176.51164393918745,47.779531623706106,3.3287191,1.42221,16.438163304328924
814765573910555648,144.79453796584642,43.14389150012885,6.340758,1.1227727,6.161650742204059
834677214091669376,154.8609167860724,48.39627209826244,5.739212,1.1523252,23.33597156469938
841422546129913344,172.5536956594149,54.36205383949236,6.283621,1.0823584,5.224618935151108
841920040781646080,176.73186602245164,55.62804519747156,4.8879147,1.3774018,14.896201017584387
849917888362404224,163.39304504986185,54.58508627236942,4.679033,1.5004449,5.490027836562714
971838540878491264,93.43891235413507,51.172186773185146,5.7975774,1.1778326,8.52225473880185
973871911539040000,112.04839420528022,45.99060121856347,4.755148,4.24341,2.80682194970618
993456588748638976,101.04823538591637,53.29504140982081,5.999134,1.2164831,12.64171371029519
1005577879811265408,93.91913936403706,59.998868475493204,4.930371,1.4831643,4.914196277247341
1020802744304279936,149.10899073182298,54.24371801087428,5.8078246,2.0535493,3.666547553267749
1025309131366815232,146.63194016497022,57.128215731304174,4.0281754,2.4534628,5.532489107940902
1041607570183626880,129.79169701047013,59.93894503432978,6.4653807,0.04325199,8.42510545820014
1048502435801849856,153.78207143434912,59.98556669476448,5.449524,2.0008998,2.964622637195839
1120722620121914880,138.96777643234978,72.94607194906065,5.9073634,0.24474716,11.196414554542182
1294461640747007104,222.62233994394327,37.27247142782778,5.176575,1.2198353,15.72390123945268
1296505804661959936,224.90376346266427,39.26551647797155,5.5567455,0.47007608,19.674690033452634
1296713990316692096,225.4862720556191,40.39043449121325,3.244982,1.1887541,13.878018045623234
1377362206141270272,233.81230263657977,39.01010561625507,4.375866,2.0014677,4.917636729781958
1384384649468452224,238.87732474791608,42.56626439482999,5.698397,-0.11437702,6.042457657372004
1425769747447125760,249.05846852119535,52.92433047972271,6.482943,0.09731245,7.524424131874057
1428733073017472000,246.105664589056,55.20518903906558,5.736858,0.009535313,8.150618983726423
1485694750364098304,214.1003392064952,39.74473874792358,6.291094,0.5167651,20.11826251219221
1503348543419347456,205.8576305838235,45.52030418647916,6.359232,1.3056397,4.927777220391056
1550641356029736576,199.86544905237767,45.52707292693187,5.889321,3.391233,1.9944944608131518
1596640009092360320,235.71102161496643,52.36103145948169,5.463089,-0.03594303,10.894308438755182
1640438603811339008,232.33761566688497,62.09948449912386,5.871527,1.5184588,4.748907754275355
