hip,ra,dec,hp_mag,b_v,plx
28360,89.88237269314368,44.947434881046085,1.9038,0.077,40.21
45941,140.52845502918143,-55.01069513405024,2.4131,-0.141,5.7
61084,187.7913720093112,-57.11256917060132,1.6299,1.6,36.83
62956,193.50680405091686,55.959842985727555,1.7545,-0.022,39.51
68002,208.88514577029758,-47.288266231538614,2.4419,-0.176,8.54
68933,211.67218593159768,-36.36869557848116,2.2226,1.011,55.45
97649,297.69450818881256,8.867384731170645,0.8273,0.221,194.95
25336,81.28278339338858,6.3497345714778675,1.5493,-0.224,12.92
39429,120.89612567880432,-40.0031883441021,2.1364,-0.269,3.01
60718,186.64975587715548,-63.099056744828914,0.6739,-0.243,10.13
90185,276.0431094473889,-34.38431460506741,1.7986,-0.031,22.76
100751,306.41187379339095,-56.73488064607406,1.8583,-0.118,18.24
37279,114.82724201808722,5.227507577481227,0.4607,0.432,284.56
84012,257.59442738169423,-15.725147681240587,2.4393,0.059,36.91
27989,88.79287148995971,7.407036532062891,0.4997,1.5,6.55
30438,95.98787789671694,-52.69571786807983,-0.5536,0.164,10.55
69673,213.91811407697244,19.187270460134823,0.1114,1.239,88.83
71683,219.9204081301028,-60.83514521897498,0.1373,0.71,754.81
91262,279.2341082481229,38.78299326196128,0.0868,-0.001,130.23
112122,340.6663954727161,-46.88456580126456,2.0699,1.61,18.43
32349,101.2885410520664,-16.713143062644765,-1.0876,0.009,379.21
36850,113.65001967585451,31.888635107905028,1.5811,0.034,64.12
50583,154.9923410330138,19.841860210862098,2.1684,1.128,25.07
61932,190.3800211738384,-48.95988558740871,2.146,-0.023,25.06
26727,85.1896866737916,-1.9425785169909107,1.6812,-0.199,4.43
58001,178.45725511911144,53.69473296967607,2.4286,0.044,39.21
66657,204.97196969638728,-53.46636266101107,2.2097,-0.171,7.63
72607,222.67664779921003,74.1554761785546,2.2044,1.465,24.91
87833,269.1515742793075,51.48895100870742,2.3617,1.521,21.14
113881,345.9430557873682,28.082454307113874,2.4861,1.655,16.64
677,2.0965338521764996,29.090828370625943,2.0371,-0.038,33.62
5447,17.432490227980693,35.62083036135464,2.1741,1.576,16.52
9884,31.79285750616657,23.462777474913395,2.1726,1.151,49.56
35904,111.02377104410644,-29.3031196329059,2.4215,-0.083,1.64
45238,138.30100316841776,-69.71747240869331,1.6625,0.07,28.82
9640,30.974662069192,42.32984824816311,2.2409,1.37,8.3
11767,37.946142995267444,89.26413777914848,2.1077,0.636,7.54
21421,68.98000194085509,16.509761580557992,1.0024,1.538,48.94
24436,78.63446385441426,-8.201639583845413,0.193,-0.03,3.78
49669,152.0935804213877,11.96719519032496,1.3232,-0.087,41.13
71681,219.91412459936643,-60.83948046402479,1.2429,0.9,796.92
27366,86.93911656875902,-9.669601807633505,2.0065,-0.168,5.04
33579,104.65644414730376,-28.97208938784479,1.416,-0.211,8.05
82273,252.16610733882885,-69.02763509082091,2.0711,1.447,8.35
100453,305.5570833701541,40.2566813681229,2.3548,0.673,1.78
14576,47.042208933461886,40.95565070505805,2.0969,-0.003,36.27
44816,136.99907150285753,-43.43262377192214,2.3385,1.665,5.99
46390,141.89688203931198,-8.6586830723955,2.135,1.44,18.09
65474,201.2983522842723,-11.161244938592992,0.8891,-0.235,13.06
86032,263.7333536145279,12.56057592855335,2.1262,0.155,67.13
25428,81.57290831934246,28.607873622095358,1.6151,-0.13,24.36
67301,206.88560910063353,49.31330296656234,1.7994,-0.099,31.38
109268,332.0578185220739,-46.96061595045465,1.6983,-0.07,32.29
