hip,ra,dec,hp_mag,b_v,plx,pm_ra,pm_de
12160,39.17937695816615,31.607665910007466,6.2336,1.052,8.79,-24.97,1.07
12288,39.57748191699042,-30.193882976397404,5.9386,0.476,29.46,97.59,-74.25
12653,40.63816024337764,-50.80082679453542,5.518,0.561,58.25,332.82,218.74
13141,42.25569582686374,-62.80659224312144,5.2973,0.101,19.82,94.02,29.1
13178,42.378071166505784,57.08432168094075,6.3677,0.786,-0.85,-0.51,-0.87
13402,43.13287775013157,-12.769253517371522,6.1909,0.862,96.6,397.41,-189.32
13531,43.564426215350586,52.76248949862853,4.0759,0.758,12.83,-1.26,-4.37
13701,44.10668253112514,-8.897609916441402,4.0583,1.088,23.89,77.36,-220.16
14168,45.67608140349842,-7.685463619355863,5.4804,0.941,12.32,49.3,-5.42
14232,45.87547156991106,28.26995605764379,6.4511,0.306,21.75,66.12,-21.23
14240,45.903765589474176,-59.73761999397163,5.2076,0.349,23.04,-73.29,-64.06
14544,46.947250535319746,47.30870579614182,6.4227,0.122,12.18,3.06,0.34
14607,47.16163959089332,8.47089092966628,6.446,1.026,8.91,-2.12,75.13
14914,48.10981959653353,47.72608080384745,6.46,1.425,5.26,73.67,-85.75
15305,49.360841899348344,-47.75173752159789,5.9976,1.228,6.37,-7.62,29.94
15338,49.447215493229116,44.025081687136954,5.4716,-0.06,4.46,26.07,-24.47
15479,49.89542985685485,-24.122846610111587,5.7006,1.663,3.34,5.47,-23.75
15737,50.68863434157777,20.74210520945169,5.2483,1.231,10.27,-51.59,-16.06
15770,50.804902077174425,49.21333017357751,5.301,-0.076,6.02,21.4,-25.84
16303,52.54554936566087,59.366068930320445,6.1803,0.095,10.51,13.3,-48.66
16641,53.53466827146467,17.833583127329103,6.31,0.891,24.76,95.31,-308.87
17203,55.28267189113352,37.580264133573976,5.5312,-0.062,3.97,22.03,-27.45
17358,55.73117519737532,47.78765316899128,2.9703,-0.125,6.32,25.58,-43.06
17378,55.81231675266535,-9.765198692753804,3.6796,0.915,110.61,-93.16,743.64
17717,56.91508461024908,-23.87479579133037,5.2659,0.075,13.0,47.46,49.1
18471,59.21680301977531,22.47824997786003,5.7033,0.345,23.62,69.82,-114.36
19302,62.06442388232656,37.72797182809948,6.2307,0.943,22.68,-100.02,-196.3
20354,65.38811902659315,46.49896266120891,4.8094,-0.022,6.43,20.06,-35.45
20380,65.46592188232643,56.506300124923605,5.9568,0.112,10.31,-13.98,6.72
20894,67.16531226761383,15.870946813243462,3.4597,0.179,21.69,108.42,-26.74
20997,67.54163691767597,-13.592373709941736,6.3913,1.001,6.96,17.81,1.07
21251,68.38767339378083,18.01676367600476,6.2575,0.077,7.45,12.29,-18.28
21986,70.8946983376418,-8.79424598680242,6.1193,0.645,1.53,31.63,-26.01
22024,71.02215830529306,-8.503573977827434,5.7567,-0.076,0.67,4.92,2.72
22833,73.69544450883808,11.425973544655166,5.2269,0.121,14.29,-15.97,14.71
22842,73.7134363175264,44.060998130941684,6.0561,-0.032,10.46,23.47,-55.42
22936,74.02948686178314,52.86971689986882,5.788,0.105,7.71,-3.88,17.47
23311,75.20282186872235,-5.750979105249427,6.363,1.049,114.84,550.12,-1109.23
23607,76.1422433034611,15.404180454363546,4.6541,-0.064,8.93,17.8,-31.15
23983,77.33168483584123,9.829597630588351,5.498,0.249,18.28,65.41,-7.69
24607,79.17102675160396,1.9473445518181474,6.425,-0.015,6.0,-11.64,-6.61
24786,79.70931603365575,-18.130199556239837,6.0773,0.572,39.96,386.13,61.03
24836,79.86604314957812,58.11740929345837,6.1281,-0.031,4.15,6.78,-17.02
25044,80.44061548247983,-0.38246939896138793,4.6616,-0.168,3.51,1.23,1.13
25859,82.80306422118544,-35.47043589584044,4.0314,1.13,12.39,27.9,-34.72
26001,83.24802012226404,-64.22751403605318,5.5046,1.039,14.08,32.88,-1.53
26020,83.28060639212403,-1.7173606851400771,6.4913,-0.099,3.17,0.08,0.38
26064,83.38179105387091,18.540230883671185,5.6614,-0.022,2.1,2.78,-0.05
26197,83.75419235824218,-6.0092693559198285,5.5912,-0.228,1.21,0.48,-1.5
26224,83.82165270697894,-5.387677413448033,4.7663,0.08,-27.24,-7.11,8.29
26315,84.06644607161876,47.71533767903099,6.1798,0.295,9.59,14.44,-19.89
26368,84.22911560785415,-66.56031371573977,6.2736,-0.052,4.27,-5.77,11.21
26408,84.31278348876153,64.15485128783241,6.1524,0.006,8.99,0.88,-66.92
26718,85.17520891266365,31.920617760998255,6.2431,2.088,1.68,0.13,-3.65
27253,86.64566141156462,1.168538003743162,6.0802,0.773,25.46,-79.12,-141.84
27971,88.74093760992164,59.88841228127173,5.2145,0.01,6.96,2.3,-18.43
28237,89.49857357373135,25.95391580599439,4.7985,-0.088,2.1,-2.06,-1.95
28520,90.30460489899133,-25.417712210638022,6.064,0.027,9.1,-12.24,-18.78
28812,91.24244815586084,5.4199699507647585,5.8371,1.047,2.49,-8.43,-1.12
28949,91.66141822077235,-4.193824822242641,5.3357,-0.122,3.08,-7.76,-4.74
29246,92.49581134077302,58.935648601811316,5.5222,1.096,8.56,16.98,18.56
29807,94.13806383079735,-35.14073124593414,4.5365,0.978,17.87,-0.28,87.94
30011,94.74573888052686,-20.925620863952986,5.7333,-0.155,1.86,-2.77,3.49
30200,95.29963190609516,29.54092680855813,6.4334,0.048,9.37,8.96,-46.31
30436,95.98297438639632,-25.577529683290404,5.7311,1.561,3.22,2.98,-39.81
30849,97.17664746419493,-41.07491129715674,6.4123,0.39,13.41,41.56,13.25
31037,97.69288847658297,-27.76958914463749,5.8667,-0.156,2.65,-7.79,5.64
31084,97.84591519615168,-12.391909008163617,5.327,1.262,8.9,42.14,-19.1
31832,99.83261261501282,42.48901184992053,4.9636,1.236,7.84,-0.87,-54.97
32226,100.91102446071432,3.9325347650921625,5.869,-0.046,1.14,-0.29,-1.95
32759,102.46027267099342,-32.508487533322075,3.4644,-0.116,4.95,-8.84,3.73
33094,103.39064639740896,-28.538720154426098,6.1802,0.708,38.62,283.11,-441.89
107,0.3338017794260248,-50.33739915813056,5.6243,1.615,6.01,7.88,11.4
345,1.0845741557571453,-29.26883034340272,6.3909,0.006,8.01,28.43,4.03
443,1.333940674712054,-5.707832380977229,4.7803,1.029,25.32,-6.54,87.85
813,2.50910231693878,11.145809065980865,5.5212,-0.064,10.68,30.9,1.75
967,2.995967284697173,48.15237108641152,6.3112,1.467,4.95,60.71,10.03
1074,3.3314515661477557,-84.99402083617971,5.8488,1.71,3.35,10.82,17.7
1195,3.742532494964006,-34.90419369891929,6.3152,1.344,5.14,76.19,-11.85
2235,7.0834672861142005,10.190341392420429,6.1492,0.447,27.36,33.04,-203.3
2629,8.346772698248072,-71.26621472015763,6.1872,0.265,7.69,73.4,-13.42
2787,8.886457275770445,-0.5054589608189677,6.0422,0.444,18.35,143.75,-62.85
3231,10.279980828544717,39.45867138896939,5.4579,0.891,9.19,-15.3,-2.48
3489,11.131347737282479,-62.49760585021948,6.166,0.446,11.41,104.0,6.57
3604,11.54499508157299,44.86150816559762,6.0177,-0.063,7.63,17.74,-3.12
3881,12.453457268973004,41.078954706153596,4.4853,-0.136,5.28,22.77,-18.35
4104,13.169170392197538,-24.00592581722003,5.6191,1.275,5.84,37.52,33.24
4292,13.750804750780613,58.97279666996289,4.9892,1.216,9.93,-33.5,-40.82
4422,14.166710413950211,59.18116589862529,4.7838,0.957,16.32,-92.65,-45.5
4558,14.578741593269685,21.40450312587861,6.4906,0.089,7.71,-11.06,-3.59
4879,15.678727528763671,-65.45611104005674,6.3135,1.634,3.76,8.41,3.26
4889,15.704527543258672,31.804336623918765,5.4945,-0.043,7.52,14.33,-30.25
5544,17.77822205440284,31.42476550331616,5.225,0.261,6.79,-9.63,-12.63
5586,17.914944411933565,30.089729442161794,4.6751,1.092,19.32,73.88,-38.3
6061,19.44993346740188,3.614520528313758,5.1732,0.071,13.28,-46.75,-21.61
6512,20.905466076562696,34.24560125930565,6.4286,0.829,17.65,233.1,117.8
6631,21.271982141808863,-64.36943615173249,6.0274,1.561,3.61,23.07,-17.15
6868,22.095205856393502,7.961373955156253,6.3873,1.114,8.73,110.93,-8.71
7505,24.181347188087535,7.8315067740836835,6.454,1.605,3.54,4.85,8.83
7879,25.338688868857442,-79.14825411431815,6.4936,0.947,8.28,59.29,21.63
7921,25.449800414016273,-60.78924089467144,5.8647,1.264,8.97,13.68,-39.55
8198,26.34828634623114,9.157641414499096,4.4267,0.942,11.67,72.98,39.3
10732,34.53144402474944,19.901161067638398,5.5924,0.011,7.29,-13.19,0.72
11090,35.709841847194625,41.39653473832612,5.8827,0.289,21.27,-73.93,-97.5
11261,36.243283522417876,-2.780014804917602,6.3456,-0.011,3.65,2.06,-6.61
11757,37.917169476407196,-79.10924935924274,5.4354,0.981,11.49,137.24,-54.22
12148,39.14626517714606,7.730077700000546,5.9767,1.04,11.02,-57.0,-18.3
